cX,cY,Area,Peri
187,519,3.5,7.41
78,519,0.0,2.0
113,516,11.0,12.83
97,515,1.0,4.0
101,515,5.0,9.66
60,514,0.0,0.0
148,514,2.0,6.0
140,513,7.0,10.83
139,509,0.0,0.0
15,508,0.0,0.0
173,507,1.0,4.0
156,507,3.0,6.83
139,503,1.0,4.0
148,502,1.0,4.0
83,501,0.0,2.0
64,501,0.0,0.0
27,497,0.0,2.0
173,496,1.0,4.0
158,496,0.5,3.41
118,496,0.0,0.0
167,494,1.5,5.41
187,488,0.0,0.0
143,488,0.0,2.0
124,488,2.0,6.0
21,486,0.0,0.0
165,482,0.0,0.0
126,481,1.0,4.0
107,481,1.0,4.0
60,479,0.0,2.0
38,479,1.0,4.0
170,478,0.5,3.41
175,477,1.0,4.83
146,476,0.5,3.41
91,475,0.0,0.0
121,474,1.0,4.0
41,472,3.5,7.41
115,468,0.5,3.41
47,466,4.5,8.24
32,465,0.0,0.0
175,464,0.0,2.0
170,464,2.5,6.24
186,461,1.0,4.0
104,463,15.0,15.66
53,461,0.0,0.0
93,460,0.5,3.41
180,459,0.0,0.0
49,458,1.5,5.41
121,456,1.0,4.0
5,456,0.0,0.0
59,455,1.5,5.41
126,450,0.0,0.0
144,449,0.5,3.41
53,448,0.0,0.0
47,448,0.0,0.0
37,448,0.5,3.41
97,445,0.5,3.41
174,444,0.0,0.0
112,444,0.0,2.0
64,444,1.5,5.41
61,444,1.5,5.41
88,438,0.0,2.0
74,438,2.5,6.24
102,437,2.0,6.0
82,436,0.0,0.0
57,437,3.0,7.66
182,433,0.0,2.0
90,434,11.5,13.07
167,432,2.0,6.0
29,434,11.5,15.9
47,429,0.0,2.0
7,430,2.0,6.0
111,426,1.0,4.0
66,425,0.0,0.0
15,423,0.5,3.41
189,420,0.0,2.0
148,420,1.0,4.0
82,421,5.0,8.83
135,420,16.5,17.07
107,418,0.0,0.0
116,416,0.0,2.0
120,414,1.0,4.83
13,412,0.5,3.41
138,411,0.0,0.0
173,410,0.0,0.0
115,411,2.0,5.66
163,409,0.0,0.0
90,402,0.0,2.0
87,402,0.0,2.0
137,401,2.0,6.0
185,400,0.0,0.0
127,398,7.5,15.07
119,397,1.0,4.83
150,395,0.0,0.0
143,394,0.0,2.0
21,394,3.0,8.0
13,392,2.0,6.0
58,391,0.0,2.0
42,391,0.0,0.0
170,391,2.0,5.66
131,389,1.0,4.0
102,389,2.0,6.0
45,389,2.0,6.0
108,388,16.0,15.66
101,385,1.5,5.41
124,384,0.0,0.0
59,384,0.0,0.0
159,382,0.0,2.0
33,381,1.5,5.41
52,379,0.0,0.0
193,378,0.0,2.0
110,378,1.5,5.41
105,378,0.0,0.0
91,379,2.0,5.66
189,375,0.0,0.0
180,375,0.0,0.0
147,376,10.5,12.24
129,374,1.0,4.83
99,375,1.5,5.41
65,374,1.0,4.0
108,372,0.0,2.0
111,371,1.5,5.41
142,368,0.0,0.0
181,367,1.5,5.41
106,367,0.0,0.0
24,365,2.0,6.0
55,365,13.5,14.24
39,364,0.0,0.0
