cX,cY,Area,Peri
186,363,0.0,0.0
91,363,0.0,0.0
112,363,1.0,4.83
118,361,1.5,5.41
160,360,2.0,8.83
31,361,11.0,12.83
147,358,0.0,0.0
196,357,0.0,2.0
88,357,1.0,4.0
17,356,1.0,4.0
29,355,0.5,3.41
183,354,0.0,0.0
108,354,1.0,4.0
82,354,2.5,6.24
144,352,3.0,10.83
113,353,2.5,6.24
97,350,1.5,5.41
83,350,1.0,4.0
124,350,3.0,6.83
106,348,0.0,0.0
14,348,1.0,4.0
157,348,1.5,5.41
163,345,1.0,4.0
144,345,0.0,0.0
45,345,0.0,0.0
150,345,3.0,6.83
128,345,2.0,5.66
101,344,0.5,3.41
54,343,0.0,0.0
155,342,0.0,2.0
7,342,0.0,0.0
185,340,0.0,2.0
153,340,0.0,0.0
175,339,1.0,4.0
27,336,0.0,0.0
141,332,0.0,0.0
194,331,1.0,4.0
45,330,0.0,0.0
160,328,0.0,0.0
17,328,1.5,5.41
69,327,1.0,4.83
50,327,0.0,0.0
54,327,0.0,4.0
193,325,0.5,3.41
165,325,0.0,0.0
91,326,5.0,10.83
57,325,0.0,0.0
114,323,0.0,0.0
87,323,1.0,4.0
108,322,0.0,0.0
161,322,2.5,9.07
136,321,0.0,0.0
102,320,2.5,6.24
31,320,0.0,0.0
13,320,1.0,4.0
149,319,3.0,6.83
120,318,1.0,4.0
45,318,1.0,4.0
158,316,1.0,4.0
184,314,1.0,4.0
13,312,0.0,2.0
104,312,4.0,8.0
167,309,0.0,0.0
195,309,0.0,6.83
147,308,0.0,0.0
86,308,0.0,0.0
62,308,8.0,10.83
42,307,0.0,0.0
21,308,2.0,6.0
79,306,3.5,7.41
17,304,3.5,7.41
47,302,0.0,0.0
64,300,1.0,4.0
157,298,0.0,0.0
105,298,0.5,3.41
144,297,0.5,3.41
173,296,0.0,0.0
88,297,8.5,12.24
44,296,1.5,5.41
26,296,1.0,4.0
16,296,0.0,0.0
197,295,1.5,5.41
84,293,0.0,0.0
89,291,0.0,0.0
125,290,0.0,0.0
152,289,0.0,0.0
112,290,1.0,4.83
40,289,0.0,2.0
114,286,1.0,4.0
63,285,0.5,3.41
75,283,0.0,0.0
158,282,0.5,3.41
182,281,1.0,4.0
13,281,0.0,2.0
138,280,2.0,6.0
114,279,2.5,6.24
51,280,3.5,7.41
2,279,1.5,5.41
165,278,0.0,2.0
64,278,0.0,2.0
79,277,0.0,0.0
38,278,3.5,7.41
12,276,0.0,0.0
111,275,3.5,7.41
28,276,6.0,10.0
93,274,0.0,0.0
165,272,0.0,0.0
146,273,2.0,6.0
12,272,0.0,0.0
45,272,2.0,6.0
95,268,4.5,9.41
59,265,0.0,0.0
16,263,1.0,4.83
94,262,0.0,0.0
26,262,2.5,8.24
100,262,4.0,8.0
6,261,1.0,4.0
149,260,0.0,0.0
43,260,0.0,2.0
133,259,1.0,4.0
57,257,4.5,8.24
197,256,0.0,0.0
131,256,1.0,4.0
160,255,0.5,3.41
65,254,2.5,6.24
168,253,1.0,4.0
12,254,7.5,10.24
177,252,0.0,0.0
136,252,1.0,4.0
163,252,4.5,13.07
85,250,1.0,4.0
5,250,0.0,2.0
116,249,1.5,9.41
90,249,3.0,6.83
51,248,0.0,2.0
146,246,0.0,2.0
35,246,0.0,2.0
45,245,0.0,0.0
18,245,0.0,2.0
95,243,1.0,4.0
8,243,0.0,2.0
128,242,1.5,5.41
11,242,0.0,0.0
18,241,0.0,0.0
28,240,4.0,8.83
36,238,0.0,0.0
159,237,0.0,0.0
53,237,1.0,4.0
43,236,0.0,0.0
7,236,1.0,4.83
2,234,0.0,2.0
169,233,0.0,0.0
40,231,0.0,2.0
28,231,0.0,0.0
131,229,1.0,4.0
162,228,0.0,2.0
138,230,11.0,12.49
120,226,0.0,0.0
171,226,5.0,8.83
34,225,3.0,6.83
27,224,1.5,5.41
166,221,8.5,16.24
63,220,1.0,4.0
13,220,3.5,10.24
24,218,0.0,0.0
87,217,0.0,2.0
167,215,2.5,6.24
86,214,0.0,0.0
114,213,0.0,2.0
133,212,0.5,3.41
170,211,1.0,4.0
78,211,0.0,0.0
72,211,0.0,0.0
152,210,0.0,2.0
139,209,0.0,0.0
60,210,3.0,6.83
194,208,2.5,6.24
151,203,0.0,0.0
75,202,0.0,0.0
160,201,0.0,2.0
56,200,0.5,3.41
39,202,14.0,14.49
178,199,3.0,6.83
154,199,12.0,14.49
10,197,0.0,0.0
26,196,1.5,5.41
189,194,0.0,0.0
167,194,0.0,0.0
28,193,0.0,0.0
48,192,0.5,3.41
25,192,0.0,2.0
109,190,1.5,5.41
132,188,0.5,3.41
180,188,3.0,6.83
95,187,0.0,0.0
56,187,0.0,2.0
115,186,2.5,6.24
127,184,0.0,0.0
173,183,2.0,6.0
29,183,0.0,2.0
179,182,0.0,0.0
129,182,0.0,0.0
86,184,10.5,13.41
6,184,21.0,17.66
75,181,1.5,5.41
142,179,0.0,0.0
161,180,6.0,10.49
111,178,0.0,0.0
99,178,1.5,5.41
126,175,0.0,0.0
162,174,2.5,6.24
52,173,2.0,5.66
3,172,0.0,0.0
155,171,1.0,4.0
110,172,1.5,5.41
78,170,7.0,11.66
15,168,0.0,0.0
111,166,0.0,2.0
63,168,13.0,13.66
13,166,0.0,2.0
104,165,0.0,0.0
180,165,3.0,7.66
125,164,0.0,2.0
167,164,2.0,6.0
155,163,1.0,4.0
188,162,1.5,5.41
82,161,0.5,3.41
136,159,0.5,3.41
106,159,0.0,0.0
164,156,2.0,6.0
79,156,0.0,2.0
135,152,0.0,0.0
117,151,0.0,0.0
62,150,0.0,0.0
67,150,6.0,10.0
127,148,3.0,6.83
111,148,0.0,2.0
20,148,0.0,0.0
132,147,2.0,5.66
1,145,0.0,0.0
195,144,0.0,0.0
57,145,2.0,6.0
33,144,0.0,2.0
25,143,0.0,0.0
140,141,0.0,2.0
176,140,0.0,0.0
73,141,4.5,8.24
19,141,3.0,6.83
122,139,0.0,0.0
143,139,1.0,4.83
169,136,2.0,6.0
107,136,0.0,0.0
10,137,3.5,7.41
119,135,0.0,2.0
163,135,10.0,22.14
132,134,2.0,5.66
192,131,2.5,6.24
62,131,1.0,4.0
143,129,9.5,13.07
44,128,0.0,2.0
9,129,6.5,11.9
158,127,0.0,2.0
112,127,0.0,0.0
117,125,0.0,0.0
62,125,0.0,0.0
47,126,3.0,8.0
4,125,0.0,2.0
126,125,1.0,6.83
58,124,3.0,6.83
121,125,9.0,14.83
56,122,0.0,2.0
171,121,1.0,4.0
108,121,5.0,8.83
73,121,1.5,5.41
23,120,0.0,4.0
191,116,1.0,4.0
160,116,1.0,4.83
55,116,0.0,0.0
139,115,0.0,0.0
71,115,1.0,4.0
41,115,1.5,5.41
79,113,0.0,2.0
126,112,0.0,0.0
115,110,1.0,4.0
39,110,0.0,2.0
194,109,3.0,8.0
54,108,1.0,4.0
18,108,1.0,4.0
132,107,2.5,6.24
65,107,1.5,5.41
104,105,1.0,4.83
180,105,13.5,18.24
86,101,0.0,0.0
51,100,2.0,6.0
114,98,0.0,6.0
47,96,3.0,6.83
6,96,1.0,4.0
105,95,0.0,0.0
73,96,16.0,16.49
119,94,1.0,4.83
18,92,0.0,2.0
12,92,1.0,4.0
177,91,4.5,8.24
130,90,1.0,4.0
106,90,2.0,5.66
49,87,0.0,0.0
121,83,0.0,0.0
115,84,2.0,6.0
62,82,0.0,0.0
136,81,0.0,2.0
55,82,3.0,6.83
197,77,0.0,0.0
123,77,0.0,0.0
66,76,0.0,0.0
52,76,0.0,0.0
14,76,0.0,2.0
127,75,3.5,7.41
113,76,2.0,11.66
32,73,25.5,19.07
29,67,0.5,3.41
18,68,3.5,7.41
130,66,0.5,3.41
103,67,7.5,10.24
39,66,0.0,0.0
1,65,0.0,2.0
155,64,1.0,4.0
11,65,3.5,7.41
19,63,3.5,8.24
55,63,3.0,6.83
66,61,1.0,4.0
154,60,0.5,3.41
196,58,0.0,0.0
28,57,0.0,2.0
8,57,0.5,3.41
173,59,9.0,24.14
112,56,0.0,0.0
103,55,0.0,2.0
39,55,3.5,8.24
1,54,0.0,0.0
80,54,2.0,8.49
172,52,0.0,2.0
75,49,0.0,2.0
94,47,0.0,2.83
50,46,3.5,7.41
6,45,2.5,7.41
114,43,0.0,0.0
73,45,11.0,14.49
21,42,0.0,2.0
133,41,0.0,0.0
111,45,40.0,32.97
129,39,0.0,0.0
58,38,0.0,2.0
165,37,0.5,3.41
152,37,0.5,3.41
64,36,1.0,4.0
182,35,0.0,0.0
16,35,0.0,0.0
42,34,0.0,2.0
131,33,0.5,3.41
111,33,3.5,7.41
81,34,7.0,9.66
49,32,0.5,3.41
196,31,1.5,5.41
157,31,0.0,0.0
80,31,0.0,0.0
120,30,0.5,3.41
160,33,28.5,26.73
134,29,0.5,3.41
169,28,0.0,2.0
110,27,0.0,2.0
54,27,0.0,2.0
100,25,0.5,3.41
77,26,3.0,6.83
132,24,0.0,2.0
15,25,6.5,10.24
144,23,4.5,8.24
191,22,0.5,3.41
95,23,2.5,9.07
39,24,8.0,16.49
162,21,0.0,2.0
63,21,0.0,2.0
48,21,0.0,2.0
183,21,1.0,4.83
177,19,0.0,2.0
85,20,2.0,6.0
146,18,0.0,0.0
165,17,2.5,6.24
148,17,0.0,0.0
111,18,2.5,6.24
64,17,0.0,2.0
159,16,1.0,4.0
27,16,0.0,2.0
82,16,8.5,15.07
53,15,2.5,6.24
157,12,0.5,3.41
7,12,0.0,0.0
190,12,6.0,10.0
67,9,1.0,4.0
107,8,0.0,0.0
182,7,0.0,0.0
58,7,5.0,8.83
154,5,0.0,0.0
14,5,0.0,0.0
21,3,0.0,2.0
17,3,0.5,3.41
103,2,2.0,6.0
