cX,cY,Area,Peri
77,888,0.0,0.0
152,887,2.0,6.0
76,882,1.0,4.0
107,862,1.0,4.0
183,860,0.0,0.0
132,862,25.5,19.07
69,851,1.5,5.41
63,842,30.0,20.49
154,838,1.0,4.0
4,831,0.0,0.0
175,826,0.0,2.0
193,823,3.5,7.41
18,819,0.0,2.0
122,818,0.0,0.0
141,817,92.5,47.21
24,812,7.5,10.24
12,807,0.0,2.0
179,795,0.0,2.0
60,793,0.0,2.0
73,779,0.0,0.0
156,778,10.5,12.24
192,776,12.5,14.24
104,773,8.5,12.24
152,770,3.0,6.83
164,751,37.0,23.31
189,744,0.0,0.0
31,739,4.5,10.24
62,737,65.0,30.14
124,730,84.0,34.97
75,726,6.5,10.24
166,723,63.0,30.14
43,719,0.0,2.0
106,718,49.5,26.73
74,714,0.0,0.0
133,707,32.0,21.31
188,701,10.0,12.83
81,689,0.0,2.0
125,666,13.5,15.07
165,659,0.0,0.0
194,656,0.0,0.0
50,652,0.0,0.0
177,650,1.0,4.0
100,652,30.5,21.9
109,645,2.0,6.0
167,641,0.5,3.41
50,637,0.0,0.0
178,633,0.0,0.0
155,632,10.0,12.49
9,630,3.0,6.83
186,628,1.5,5.41
97,628,2.0,6.0
52,629,25.0,18.49
81,618,1.5,5.41
9,597,0.0,0.0
77,595,0.0,0.0
101,589,20.0,16.49
187,584,1.0,4.0
57,582,1.0,4.0
167,576,1.0,4.0
85,576,1.0,4.0
69,572,72.0,32.97
95,565,1.0,4.0
179,563,0.5,3.41
167,559,1.0,4.83
33,559,13.0,13.66
57,557,19.0,16.83
22,556,4.0,8.0
140,549,34.5,21.9
51,546,0.0,0.0
128,536,35.0,22.49
59,530,7.0,9.66
177,525,29.5,29.56
53,521,1.0,4.0
35,520,10.5,12.24
172,516,0.5,3.41
185,516,11.5,17.07
77,509,12.0,13.66
39,506,4.0,8.0
124,500,1.0,4.0
28,495,0.0,2.0
52,486,0.0,0.0
95,484,3.5,7.41
150,475,10.0,11.66
35,472,22.0,17.31
158,466,8.0,10.83
182,459,4.0,8.0
18,458,24.0,18.49
144,450,59.0,32.14
4,444,1.0,4.0
152,440,0.0,0.0
93,437,1.5,5.41
188,437,6.0,9.66
105,434,0.5,3.41
59,431,1.5,5.41
158,430,0.0,2.0
116,429,1.0,4.83
82,414,1.5,5.41
107,399,5.0,8.83
84,395,33.0,21.31
170,392,0.5,3.41
64,386,6.0,10.0
27,381,1.0,4.0
72,373,25.0,18.49
57,367,0.0,2.0
58,361,0.0,2.0
27,358,9.0,11.66
166,342,53.5,28.73
168,334,0.0,0.0
196,321,0.5,3.41
166,308,1.0,4.0
34,301,0.0,0.0
195,297,11.5,13.07
50,296,11.0,13.66
104,294,1.0,4.0
16,291,5.0,8.83
64,286,0.0,0.0
73,275,0.0,0.0
110,274,2.5,6.24
86,273,1.0,4.0
103,269,27.5,19.9
6,260,0.0,2.0
191,244,25.0,19.66
66,245,42.0,24.49
60,242,2.0,6.0
149,224,32.0,21.31
4,216,13.5,14.24
180,211,72.5,31.56
7,207,0.5,3.41
65,205,11.5,13.07
81,198,49.5,28.73
128,168,0.0,2.0
91,168,3.0,6.83
31,168,30.5,21.07
81,165,1.0,4.0
122,151,5.0,8.83
165,146,46.0,25.31
53,141,1.0,4.0
140,133,0.5,3.41
76,119,118.0,40.97
63,100,3.0,6.83
186,93,2.5,6.24
131,86,1.0,4.83
16,85,0.0,0.0
108,47,0.5,3.41
19,20,15.0,14.83
2,11,1.0,4.0
21,2,2.0,6.0
