cX,cY,Area,Peri
17,590,0.0,0.0
132,585,1.0,4.0
11,583,0.0,0.0
149,581,0.5,3.41
108,582,2.0,5.66
13,581,0.0,0.0
74,581,7.5,10.24
58,581,2.0,5.66
124,580,3.0,6.83
34,579,1.0,4.83
31,576,0.0,2.0
179,575,0.0,0.0
184,574,0.0,2.0
17,574,1.0,4.83
116,573,9.5,12.24
151,568,1.0,4.0
99,566,0.0,2.0
26,567,3.0,6.83
196,565,0.0,0.0
74,562,0.5,3.41
195,561,0.5,3.41
29,561,0.0,2.0
162,560,5.0,8.83
90,559,0.0,2.0
44,558,0.0,2.0
71,559,7.5,13.07
173,556,10.0,11.66
131,555,0.0,0.0
166,555,2.5,6.24
91,550,1.0,4.0
46,550,0.5,3.41
3,550,6.5,10.24
97,548,0.0,0.0
183,545,1.0,4.0
41,544,2.5,6.24
154,543,1.0,4.0
39,543,0.0,0.0
139,537,1.5,5.41
161,535,3.5,7.41
112,532,0.0,2.0
183,532,10.0,11.66
111,529,0.0,0.0
31,529,0.0,0.0
130,524,0.0,0.0
58,522,0.0,2.0
34,520,0.0,2.0
195,518,0.0,0.0
158,518,3.0,6.83
188,516,0.0,0.0
70,516,0.0,0.0
117,511,0.0,0.0
137,510,0.5,3.41
159,510,3.0,6.83
38,506,1.5,5.41
190,506,6.5,10.24
89,504,0.0,2.0
127,504,3.0,6.83
107,502,0.0,0.0
146,500,0.0,2.0
196,499,2.0,5.66
50,498,0.0,0.0
53,498,9.5,12.24
76,495,0.0,0.0
5,494,0.0,2.0
146,493,6.5,10.24
126,490,0.0,2.0
29,491,3.0,6.83
113,489,2.0,5.66
194,487,1.0,4.0
20,486,0.0,2.0
114,484,1.0,4.0
108,484,2.0,6.0
102,480,5.0,8.83
5,478,0.0,0.0
194,470,1.0,4.0
191,470,2.0,6.0
123,469,0.0,0.0
61,469,0.0,2.0
145,466,0.0,0.0
67,467,3.0,6.83
101,465,1.0,4.0
184,461,0.0,2.0
47,459,0.0,2.0
131,456,0.5,3.41
45,455,0.0,0.0
179,454,5.5,9.41
56,454,0.0,2.0
61,451,0.0,2.0
158,450,1.0,4.0
126,448,0.0,0.0
79,449,5.0,8.83
29,448,0.0,2.0
154,447,0.0,2.0
158,446,0.0,0.0
94,446,0.0,0.0
57,446,7.5,10.24
17,442,0.0,2.0
34,442,3.0,6.83
92,440,0.0,2.0
18,437,0.0,0.0
37,430,0.0,0.0
28,427,0.0,0.0
