cX,cY,Area,Peri
139,149,0.0,0.0
101,149,1.5,6.24
156,147,0.0,0.0
143,147,0.0,2.0
23,147,0.0,2.0
174,147,2.5,6.24
62,146,0.5,3.41
148,143,1.5,5.41
168,141,0.5,3.41
127,141,0.5,3.41
113,141,0.0,0.0
106,141,0.0,2.0
77,142,3.0,6.83
141,140,1.0,4.0
19,139,1.0,4.0
52,138,1.0,4.0
113,137,0.0,0.0
32,137,3.5,7.41
26,137,1.0,4.0
172,135,0.5,3.41
82,135,0.0,0.0
142,134,1.5,5.41
149,134,1.0,7.66
98,134,3.0,6.83
80,133,0.0,0.0
64,133,2.5,6.24
55,133,0.5,3.41
27,133,4.5,8.24
3,134,6.0,10.83
129,132,1.5,5.41
85,132,0.0,0.0
150,130,0.0,0.0
143,130,0.5,3.41
105,130,1.5,5.41
135,129,0.0,6.0
69,128,0.5,3.41
159,127,0.0,0.0
155,126,0.5,3.41
5,126,0.5,3.41
117,125,0.0,0.0
32,125,0.0,2.0
87,124,1.5,5.41
80,125,2.0,6.0
61,124,0.0,0.0
196,123,0.0,0.0
177,122,0.0,2.0
174,122,0.0,0.0
43,122,1.0,4.0
12,123,6.5,15.9
127,121,1.5,5.41
97,121,0.0,0.0
69,121,0.5,3.41
79,120,0.0,0.0
76,119,1.5,5.41
181,118,0.0,0.0
127,117,1.0,4.0
16,117,0.0,2.0
151,115,0.0,0.0
15,114,0.0,0.0
100,113,0.0,2.0
82,114,6.0,15.66
19,113,2.5,6.24
157,112,0.5,3.41
107,114,14.0,17.66
176,111,0.0,0.0
180,110,3.0,6.83
144,110,0.5,3.41
28,110,1.0,4.0
7,110,0.0,0.0
124,109,1.5,5.41
32,109,0.0,0.0
104,107,0.0,4.83
98,107,2.0,6.83
81,106,0.0,0.0
5,106,1.0,4.0
194,105,0.0,0.0
169,107,23.0,24.49
179,104,0.0,0.0
102,104,0.0,0.0
36,104,0.0,0.0
177,103,0.0,0.0
133,103,0.0,0.0
184,102,1.0,4.0
152,106,32.0,30.97
48,103,1.5,5.41
80,101,1.5,5.41
10,102,4.5,9.07
138,100,0.5,3.41
61,101,1.0,4.83
28,100,0.0,2.0
123,99,0.0,2.0
44,99,1.0,4.0
24,99,0.0,0.0
54,98,1.0,4.0
33,99,5.0,8.83
95,97,0.0,0.0
150,96,3.0,6.83
97,96,0.0,0.0
137,95,0.5,3.41
116,95,0.0,0.0
12,96,2.0,6.0
5,95,1.0,4.0
163,94,0.0,0.0
127,94,0.0,0.0
120,94,0.0,2.0
50,94,0.0,0.0
134,93,0.0,2.83
112,93,0.0,0.0
99,93,0.0,0.0
21,94,9.0,12.83
146,93,2.0,8.83
54,92,0.0,2.0
36,93,2.0,6.83
98,91,0.0,2.0
95,91,0.0,0.0
27,91,0.5,3.41
12,90,0.5,3.41
178,90,1.5,5.41
122,88,2.0,6.0
63,87,3.5,7.41
156,87,4.5,9.41
180,85,0.0,0.0
103,85,1.0,4.0
161,84,0.0,0.0
138,86,9.0,12.49
126,84,0.0,0.0
83,85,2.5,6.24
56,84,0.0,0.0
188,83,2.5,6.24
86,83,0.0,0.0
28,83,0.0,0.0
13,83,2.0,6.0
118,82,0.0,0.0
76,82,1.0,4.0
165,81,0.0,2.83
123,82,1.0,4.83
80,82,3.0,6.83
187,80,0.0,2.0
72,82,8.0,13.66
2,81,3.0,8.0
176,81,4.0,10.0
50,79,0.0,0.0
150,78,1.0,4.0
127,79,10.5,12.24
115,78,0.0,0.0
93,78,1.5,5.41
40,78,0.5,3.41
130,77,0.0,0.0
100,77,0.0,0.0
87,77,0.0,0.0
83,78,5.0,8.83
58,77,0.0,0.0
173,77,3.0,6.83
153,75,0.5,3.41
118,75,3.5,7.41
62,76,1.5,5.41
185,73,9.0,13.66
53,71,0.0,2.0
50,73,4.5,14.24
30,71,0.0,0.0
168,70,0.0,0.0
135,70,2.5,6.24
110,70,0.0,0.0
76,71,1.5,5.41
153,70,5.5,10.24
141,69,0.0,0.0
106,69,0.0,0.0
97,69,2.0,6.0
171,68,1.0,4.0
86,68,0.0,0.0
6,68,1.0,4.0
84,66,0.0,0.0
31,66,0.0,2.0
136,65,0.0,0.0
114,65,0.0,2.0
41,65,1.5,5.41
43,63,0.0,0.0
34,63,1.5,5.41
135,62,0.0,0.0
57,62,0.0,0.0
165,61,2.5,6.24
105,62,7.5,14.24
53,63,7.0,15.31
16,61,1.5,5.41
146,61,1.0,4.83
108,59,0.0,4.0
7,58,0.0,0.0
147,57,0.0,2.0
118,58,1.5,5.41
31,56,0.0,0.0
15,56,0.0,0.0
117,55,0.0,0.0
111,55,1.0,4.83
34,54,1.0,4.0
5,54,0.0,2.0
167,53,0.0,0.0
157,53,3.5,7.41
15,52,0.0,0.0
139,51,0.0,0.0
133,51,0.0,0.0
38,52,3.5,9.07
31,51,0.0,0.0
22,51,0.0,0.0
149,50,0.0,2.0
107,52,7.0,11.66
50,52,3.0,10.83
43,50,1.5,6.24
157,49,0.0,0.0
101,49,0.0,0.0
154,48,1.0,4.0
128,48,0.0,0.0
82,48,1.5,5.41
56,48,0.0,2.0
95,45,0.0,0.0
66,46,3.0,7.66
59,46,3.0,6.83
98,43,1.0,8.83
92,42,1.0,4.0
34,42,0.5,3.41
163,42,5.0,8.83
142,41,1.0,4.0
79,41,0.0,0.0
55,41,1.5,5.41
134,41,1.5,5.41
65,40,1.5,5.41
23,40,0.0,0.0
118,39,3.0,6.83
105,39,0.0,0.0
113,39,8.0,10.83
78,38,0.0,0.0
190,37,0.0,0.0
183,37,0.0,0.0
175,38,5.5,9.41
171,37,0.5,3.41
96,37,0.0,2.0
94,37,0.0,2.0
143,36,0.0,2.0
140,36,0.5,5.41
116,36,0.0,0.0
102,36,0.0,2.0
99,36,0.0,2.0
70,36,0.0,2.0
6,36,0.0,0.0
153,34,0.0,0.0
73,34,0.5,3.41
89,33,1.5,5.41
125,32,0.0,0.0
29,32,0.0,0.0
93,31,0.0,0.0
56,34,16.5,25.56
162,29,0.0,0.0
158,29,4.0,8.0
142,28,0.0,0.0
77,29,5.5,10.24
71,28,2.5,6.24
187,26,0.0,0.0
128,26,0.0,2.0
113,26,1.0,4.83
56,26,0.0,0.0
87,25,2.5,6.24
144,23,0.5,3.41
112,23,0.0,0.0
79,22,0.0,2.0
67,22,0.0,0.0
21,22,0.0,2.0
151,21,0.0,0.0
8,21,0.5,3.41
116,19,0.0,0.0
149,18,0.0,0.0
122,18,0.0,0.0
59,19,1.0,6.83
141,18,1.0,4.83
127,19,7.5,13.07
115,17,0.0,0.0
95,17,0.0,0.0
1,17,0.0,0.0
155,16,3.5,7.41
117,16,0.0,0.0
12,16,1.0,4.0
191,15,0.5,3.41
84,13,0.5,3.41
154,12,0.0,0.0
89,12,0.0,0.0
32,13,0.0,6.0
173,11,0.0,2.0
2,12,3.5,8.24
96,11,6.0,11.66
69,12,5.0,12.83
15,10,0.0,0.0
157,9,0.5,3.41
74,10,7.0,11.66
12,10,2.0,5.66
97,8,0.0,0.0
49,7,2.0,6.0
25,6,0.0,0.0
173,5,0.0,2.0
114,6,5.0,8.83
97,5,0.0,0.0
163,6,9.0,13.31
85,4,1.0,4.0
114,2,0.0,0.0
30,2,1.0,4.0
151,1,0.5,3.41
139,1,0.0,2.0
88,1,0.0,2.0
