cX,cY,Area,Peri
30,294,0.0,0.0
22,293,0.0,0.0
4,293,3.0,6.83
30,291,0.0,2.0
87,290,0.0,0.0
85,290,0.0,0.0
116,289,0.0,0.0
62,288,1.5,5.41
127,286,0.0,0.0
54,286,0.0,2.0
164,289,13.5,24.73
51,285,0.0,0.0
123,285,0.0,4.83
188,283,0.0,2.83
147,283,0.0,2.0
85,282,0.0,0.0
71,283,2.5,11.07
173,280,0.0,0.0
46,280,0.0,0.0
196,279,0.0,0.0
186,279,0.0,0.0
87,279,0.0,0.0
170,278,0.0,0.0
111,278,0.0,0.0
84,277,0.0,2.0
195,274,0.0,0.0
158,276,9.5,12.24
42,274,3.0,6.83
34,274,2.0,6.0
137,272,0.0,0.0
88,272,0.0,0.0
48,273,3.5,7.41
192,271,1.0,4.0
189,270,0.0,0.0
144,271,1.0,6.83
64,270,0.0,4.0
196,269,2.0,6.0
157,269,0.5,3.41
82,269,0.0,0.0
12,269,2.5,6.24
104,267,0.0,0.0
83,267,0.0,0.0
5,267,0.5,3.41
80,266,1.0,4.0
115,265,0.0,0.0
160,264,0.0,2.0
101,263,0.0,2.0
164,261,1.0,4.83
144,261,1.0,4.0
30,261,0.5,3.41
71,260,0.5,3.41
163,259,0.0,0.0
99,258,4.5,9.41
47,257,0.0,0.0
53,256,0.0,2.0
192,255,0.0,0.0
157,255,4.5,13.07
25,254,0.0,0.0
128,253,0.0,0.0
89,253,0.0,0.0
68,253,0.0,2.0
194,252,0.0,0.0
144,252,0.0,0.0
101,252,0.0,0.0
156,251,0.5,3.41
94,251,0.0,0.0
89,250,0.0,2.0
47,250,2.5,6.24
99,248,0.0,0.0
40,249,0.5,6.24
107,256,1.0,24.83
20,248,2.5,6.24
75,246,1.0,4.83
4,245,2.5,8.24
181,244,0.0,2.83
194,243,0.0,2.0
105,243,0.0,0.0
100,243,1.0,4.0
48,242,0.0,0.0
152,241,0.0,0.0
149,241,0.0,2.0
29,241,0.0,0.0
145,240,0.0,0.0
135,240,0.0,2.0
119,240,1.0,4.83
47,239,0.0,2.0
16,239,0.0,0.0
107,237,0.5,5.41
148,237,5.5,9.41
8,236,1.5,5.41
167,235,1.0,4.0
158,235,1.5,5.41
51,237,4.0,15.66
24,236,2.0,6.0
171,234,1.0,4.0
107,234,0.0,2.0
72,234,0.0,2.0
121,233,0.0,2.83
115,233,0.0,0.0
70,233,0.0,0.0
59,233,0.0,0.0
63,233,3.0,7.66
104,231,0.0,0.0
49,231,0.0,0.0
193,230,3.0,6.83
173,229,1.0,4.0
159,229,0.0,0.0
110,230,3.5,8.24
126,228,0.0,0.0
21,229,2.5,10.24
139,228,3.0,6.83
135,228,4.0,7.66
121,227,0.0,0.0
94,229,1.5,7.41
190,226,0.5,3.41
178,226,0.0,0.0
151,226,0.0,0.0
147,226,0.0,0.0
53,226,0.0,0.0
69,227,5.0,10.83
27,225,0.5,3.41
185,224,7.0,10.83
106,224,0.0,0.0
57,224,0.5,3.41
164,223,1.5,5.41
159,222,0.0,0.0
23,222,1.5,5.41
1,222,0.5,3.41
189,221,0.0,0.0
111,221,0.0,0.0
12,222,2.0,5.66
184,220,0.0,2.0
114,220,0.0,0.0
64,220,0.0,0.0
40,220,0.0,2.0
151,219,0.0,0.0
102,219,0.0,0.0
118,218,0.0,0.0
88,218,0.0,0.0
22,218,5.5,9.41
41,217,0.0,0.0
138,216,0.5,3.41
102,216,0.0,0.0
68,216,0.0,0.0
148,215,0.0,0.0
113,215,0.0,0.0
80,215,1.0,4.0
103,214,0.0,0.0
74,214,0.0,0.0
167,214,4.5,8.24
122,213,0.0,0.0
106,213,0.0,2.0
61,214,2.0,6.0
25,212,1.5,5.41
140,210,1.0,4.0
64,210,0.0,0.0
93,210,2.0,6.0
170,208,0.0,0.0
149,208,0.5,3.41
33,208,0.0,0.0
172,207,0.0,2.0
134,207,0.0,2.0
82,209,4.5,14.24
45,207,0.5,6.24
84,206,0.0,0.0
36,207,2.0,6.0
141,205,0.0,0.0
116,205,0.0,0.0
112,206,5.0,19.31
68,205,0.5,3.41
127,205,7.5,11.07
63,204,0.0,0.0
171,203,0.5,3.41
85,203,0.0,2.0
50,203,0.0,0.0
135,202,0.0,0.0
66,203,3.0,6.83
195,201,0.0,0.0
119,202,1.5,5.41
76,201,0.0,0.0
183,200,0.0,0.0
164,200,0.0,0.0
68,200,0.0,0.0
42,200,0.0,2.83
25,200,0.0,2.0
153,202,10.5,17.07
144,200,4.5,8.24
8,200,1.0,4.83
176,198,0.0,0.0
133,198,0.0,2.0
131,198,0.0,0.0
88,198,0.0,0.0
35,198,0.0,0.0
126,197,3.5,7.41
62,196,0.5,3.41
145,195,1.0,4.0
112,196,2.5,9.07
94,195,0.0,0.0
66,195,0.0,0.0
14,194,1.0,4.0
165,193,0.0,0.0
150,195,9.0,12.83
10,193,0.5,3.41
4,193,1.0,4.0
190,192,0.0,2.0
36,193,4.0,8.83
66,191,0.0,0.0
103,190,0.0,0.0
184,190,1.0,4.83
118,189,0.5,3.41
20,189,3.0,6.83
105,188,0.0,0.0
98,188,1.5,5.41
81,189,1.0,4.83
32,187,1.5,5.41
190,186,3.5,7.41
96,186,0.5,3.41
24,187,5.0,9.66
198,185,0.0,0.0
15,184,0.0,0.0
133,183,0.5,3.41
102,183,1.0,4.0
52,184,5.5,9.41
173,182,1.0,4.0
127,183,2.0,6.0
78,182,0.0,0.0
38,183,1.0,4.83
121,181,2.0,6.83
90,181,0.0,2.0
87,181,0.5,3.41
183,179,0.0,2.0
142,179,0.0,2.83
117,179,0.5,3.41
76,179,0.0,2.0
36,179,0.0,0.0
168,178,1.5,5.41
89,178,0.0,2.83
65,178,0.0,2.0
9,179,1.0,4.83
38,177,0.0,0.0
127,176,0.0,2.0
62,176,0.5,3.41
50,176,0.0,2.0
136,176,1.5,5.41
79,177,7.0,13.31
69,175,1.0,4.83
91,175,1.5,8.24
179,172,0.0,0.0
119,172,0.0,0.0
51,172,0.5,3.41
145,171,0.0,0.0
64,171,0.0,0.0
47,170,1.0,4.0
122,169,0.0,0.0
124,167,0.0,0.0
175,167,3.5,7.41
144,166,0.0,0.0
129,168,8.0,11.66
85,167,1.5,6.24
168,165,0.5,3.41
69,165,1.0,4.0
24,164,0.5,3.41
155,164,6.5,10.24
108,164,1.5,6.24
97,163,0.0,0.0
79,163,0.5,3.41
4,163,1.5,5.41
169,162,0.0,0.0
120,164,9.0,11.66
92,162,0.0,0.0
84,162,0.0,2.0
14,162,0.0,0.0
175,161,0.0,0.0
192,160,0.0,0.0
164,160,0.0,2.0
59,160,0.0,0.0
124,159,0.0,2.0
84,159,0.0,0.0
156,158,0.0,0.0
75,161,1.0,9.66
103,157,0.0,0.0
149,156,0.0,0.0
79,156,4.0,8.83
56,156,0.0,5.66
173,154,0.0,4.0
136,154,0.0,0.0
113,154,0.0,0.0
152,152,1.0,4.83
116,152,0.0,0.0
75,152,0.0,0.0
168,151,1.0,4.0
134,151,0.5,3.41
121,151,0.0,0.0
118,151,0.0,0.0
22,151,1.0,4.0
137,151,1.5,5.41
113,150,0.0,0.0
43,150,0.0,0.0
17,150,0.0,0.0
162,149,0.0,0.0
160,149,0.0,0.0
